"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"PKCOY","Park24 Co Ltd Sponsored ADRs","Pink","Japan","JT:4666","Tokyo Stock Exchange","Industrials","$2,513,334,061","3.92%","2,723","Analyze"
"TIAIY","Telecom Italia S.p.A. Sponsored ADRs","Pink","Italy","IM:TIT","Borsa Italiana S.P.A.","Communication Services","$2,411,116,680","0.25%","5,960","Analyze"
"SPMYY","Spirent Communications plc Sponsored ADRs","Pink","United Kingdom","LN:SPT","London Stock Exchange","Information Technology","$2,384,264,008","0.40%","650","Analyze"
"INVVY","Indivior PLC Sponsored ADRs","Pink","United Kingdom","LN:INDV","London Stock Exchange","Health Care","$2,293,066,263","0.60%","733","Analyze"
"BAFYY","Balfour Beatty plc Sponsored ADRs","Pink","United Kingdom","LN:BBY","London Stock Exchange","Industrials","$2,292,267,893","0.63%","3,214","Analyze"
"SCGPY","Serco Group plc Sponsored ADRs","Pink","United Kingdom","LN:SRP","London Stock Exchange","Industrials","$2,137,605,423","1.25%","100","Analyze"
"SMSMY","Sims Ltd. Sponsored ADRs","Pink","Australia","AT:SGM","Asx - All Markets","Materials","$2,096,599,260","0.00%","2,090","Analyze"
"CHRYY","Chorus Limited Sponsored ADRs","Pink","New Zealand","NZ:CNU","New Zealand Exchange Ltd","Communication Services","$1,993,730,987","1.12%","9,577","Analyze"
"BPIRY","Piraeus Bank S.A. Sponsored ADRs","Pink","Greece","GA:TPEIR","Athens Exchange S.A. Cash Market","Financials","$1,975,580,212","2.67%","0","Analyze"
"CTPZY","Compania de Transmissao de Energia Eletrica Paulista Sponsored ADRs Pfd","Pink","Brazil","BS:TRPL4","XBSP","Utilities","$1,924,538,746","34.25%","0","Analyze"
"CMTOY","Cementos Argos SA Sponsored ADRs","Pink","Colombia","CX:CEMARGOS","Bolsa De Valores De Colombia","Materials","$1,842,675,696","0.98%","1,100","Analyze"
"SLCJY","SLC Agricola S.A. Sponsored ADRs","Pink","Brazil","BS:SLCE3","XBSP","Consumer Staples","$1,685,862,993","14.17%","262","Analyze"
"SPPJY","Sappi Limited Sponsored ADRs","Pink","South Africa","SJ:SAP","Johannesburg Stock Exchange","Materials","$1,678,261,502","5.74%","3,250","Analyze"
"FPAFY","First Pacific Co. Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0142","Hong Kong Exchange","Financials","$1,672,930,693","1.08%","21,202","Analyze"
"PLFRY","PALFINGER AG Sponsored ADRs","Pink","Austria","AV:PAL","Wiener Boerse Ag","Industrials","$1,616,510,094","1.05%","0","Analyze"
"JDWPY","J D Wetherspoon plc Sponsored ADRs","Pink","United Kingdom","LN:JDW","London Stock Exchange","Consumer Discretionary","$1,599,611,500","1.88%","0","Analyze"
"SGHIY","Shanghai Industrial Holdings Limited Sponsored ADRs","Pink","Hong Kong","HK:0363","Hong Kong Exchange","Industrials","$1,588,416,148","6.84%","0","Analyze"
"GCHOY","Grupo Nutresa S.A. Sponsored ADRs","Pink","Colombia","CX:NUTRESA","Bolsa De Valores De Colombia","Consumer Staples","$1,513,806,177","5.56%","0","Analyze"
