"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"LX","LexinFintech Holdings Ltd. ADRs","China","PRIVATE","","Financials","$784,481,955","3.40","0.40","0.11","0.00%","1,180,214","Analyze"
"MSC","Studio City International Holdings Limited Class A ADRs","Hong Kong","MLCO","NASDAQ Global Select","Consumer Discretionary","$782,370,079","-2.60","9.27","0.70","0.00%","2,302","Analyze"
"PTNR","Partner Communications ADRs","Israel","IT:PTNR","Tel Aviv Stock Exchange","Communication Services","$778,178,879","0.00","0.76","0.46","0.00%","8,484","Analyze"
"AMYT","Amryt Pharma plc ADRs","United Kingdom","LN:AMYT","London Stock Exchange","Health Care","$747,894,950","-8.96","3.79","14.68","0.00%","72,870","Analyze"
"WDH","Waterdrop Inc. ADRs","China","PRIVATE","","Health Care","$718,913,511","0.00","1.38","0.15","0.00%","281,569","Analyze"
"FANH","Fanhua Inc. ADRs","China","PRIVATE","","Financials","$706,620,791","14.45","1.31","0.36","5.95%","61,112","Analyze"
"GRVY","Gravity ADRs","South Korea","PRIVATE","","Information Technology","$693,847,665","10.69","1.88","0.00","0.00%","17,231","Analyze"
"TEO","Telecom Argentina ADRs","Argentina","AF:TECO2","Bolsa de Comercio de Buenos Aires","Communication Services","$658,204,805","0.00","0.21","0.00","4.26%","121,599","Analyze"
"EM","Smart Share Global Limited ADRs","China","PRIVATE","","Consumer Discretionary","$654,343,194","0.57","1.32","0.19","0.00%","381,610","Analyze"
"PHAR","Pharming Group N.V. ADRs","The Netherlands","NA:PHARM","Nyse Euronext - Euronext Amsterdam","Health Care","$646,809,712","0.00","0.00","3.78","0.00%","1,119","Analyze"
"MOLN","Molecular Partners AG ADRs","Switzerland","SE:MOLN","Six Swiss Exchange","Health Care","$644,021,970","0.00","0.00","5.96","0.00%","27,165","Analyze"
"SIFY","SIFY Technologies Limited ADRs","India","PRIVATE","","Communication Services","$643,300,384","29.02","1.89","0.05","0.51%","182,222","Analyze"
"BTCM","BIT Mining Limited ADRs","China","PRIVATE","","Information Technology","$642,840,000","0.00","1.41","0.55","0.00%","1,717,053","Analyze"
"RAAS","Cloopen Group Holding Limited ADRs of class A","China","PRIVATE","","Information Technology","$639,520,976","0.00","9.73","0.23","0.00%","666,421","Analyze"
"SLN","Silence Therapeutics Plc ADRs","United Kingdom","LN:SLN","London Stock Exchange","Health Care","$630,544,072","0.00","398.96","28.44","0.00%","909","Analyze"
"ICLK","iClick Interactive Asia Group Limited ADRs","China","PRIVATE","","Communication Services","$627,313,644","-56.05","2.15","2.00","0.00%","762,209","Analyze"
"LND","Brasilagro Brazilian Agric Real Estate Co ADRs","Brazil","BS:AGRO3","XBSP","Consumer Staples","$602,427,266","2.65","0.92","0.34","44.54%","11,498","Analyze"
"CEPU","Central Puerto S.A. ADRs","Argentina","AF:CEPU","Bolsa de Comercio de Buenos Aires","Utilities","$594,542,312","0.00","1.56","0.01","0.66%","273,659","Analyze"
"DBVT","DBV Technologies S.A. ADRs","France","FP:DBV","Euronext Paris","Health Care","$590,825,518","-13.65","224.52","4.13","0.00%","46,315","Analyze"
"GHG","GreenTree Hospitality Group Ltd. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$590,682,152","16.47","3.72","0.25","20.13%","177,656","Analyze"
"CALT","Calliditas Therapeutics AB ADRs","Sweden","SS:CALTX","Nasdaq Omx Nordic","Health Care","$584,132,077","0.00","12,589.94","0.62","0.00%","14,250","Analyze"
"VIST","Vista Oil & Gas, S.A.B. de C.V. ADRs of class A shares","Mexico","MM:VISTA","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Energy","$575,717,754","-18.89","1.34","1.15","0.00%","596,182","Analyze"
"IVA","Inventiva S.A. ADRs","France","FP:IVA","Euronext Paris","Health Care","$570,397,730","-13.92","210.52","6.44","0.00%","11,541","Analyze"
"SOL","ReneSola Ltd. ADRs","China","PRIVATE","","Industrials","$545,432,543","40.94","8.04","1.18","0.00%","1,259,841","Analyze"
"GOTU","GSX Techedu Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$528,641,568","0.00","0.40","0.15","0.00%","12,242,848","Analyze"
"BEST","BEST Inc. ADRs of Class A","China","PRIVATE","","Industrials","$523,855,265","0.00","0.11","0.78","0.00%","4,958,982","Analyze"
"ADAG","Adagene Inc. ADRs","China","PRIVATE","","Health Care","$515,948,199","-29.87","33.83","2.81","0.00%","18,819","Analyze"
"CPAC","Cementos Pacasmayo SAA ADRs","Peru","PE:CPACASC1","Bolsa De Valores De Lima","Materials","$512,880,825","13.71","0.93","0.47","4.54%","21,546","Analyze"
"SMMT","Summit Therapeutics PLC ADRs","United Kingdom","LN:SUMM","London Stock Exchange","Health Care","$502,489,954","0.00","0.00","4.24","0.00%","161,099","Analyze"
"AMAM","Ambrx Biopharma Inc. ADRs","Cayman Islands","PRIVATE","","Health Care","$501,003,765","0.00","0.00","0.00","0.00%","18,618","Analyze"
"QIWI","QIWI plc ADRs","Russia","PRIVATE","","Information Technology","$500,505,765","4.31","0.85","0.02","11.70%","273,772","Analyze"
"ITMR","Itamar Medical Ltd. ADRs","Israel","IT:ITMR","Tel Aviv Stock Exchange","Health Care","$497,863,957","-31.17","10.31","6.12","0.00%","128,811","Analyze"
"VACC","Vaccitech plc ADRs","United Kingdom","PRIVATE","","Health Care","$496,386,220","-13.24","338.60","2.01","0.00%","15,423","Analyze"
"AVDL","Avadel Pharmaceuticals PLC ADRs","Ireland","PRIVATE","","Health Care","$495,724,173","0.00","0.00","4.16","0.00%","1,129,392","Analyze"
"CLLS","Cellectis SA ADRs","France","FP:ALCLS","Euronext Paris","Health Care","$491,934,654","-4.09","8.21","1.65","0.00%","308,886","Analyze"
"CANG","Cango Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$485,923,675","1.20","0.86","0.07","4.52%","227,395","Analyze"
"DAO","Youdao, Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$474,830,039","0.00","0.65","-0.68","0.00%","320,753","Analyze"
"IPHA","Innate Pharma S.A. ADRs","France","FP:IPH","Euronext Paris","Health Care","$460,700,476","0.00","3.63","3.29","0.00%","158,433","Analyze"
"AUTL","Autolus Therapeutics plc ADRs","United Kingdom","PRIVATE","","Health Care","$434,273,215","-2.93","151.84","1.51","0.00%","293,117","Analyze"
"NBTX","Nanobiotix S.A. - ADRs","France","FP:NANO","Euronext Paris","Health Care","$432,189,072","0.00","523.50","10.77","0.00%","3,288","Analyze"
"RENN","Renren Inc. ADRs of Class A","China","PRIVATE","","Information Technology","$430,651,321","-8.43","0.64","3.35","909.65%","603,833","Analyze"
"SOS","SOS Limited ADRs of Class A","China","PRIVATE","","Industrials","$430,402,100","101.99","1.69","0.90","0.00%","8,692,034","Analyze"
"EXAI","Exscientia Ltd ADRs","United Kingdom","","","Health Care","$417,185,680","0.00","0.00","1.94","0.00%","259,166","Analyze"
"SY","So-Young International Inc. ADRs of Class A","China","PRIVATE","","Communication Services","$404,915,740","60.14","1.62","0.17","0.00%","323,883","Analyze"
