"Symbol","Name","Cross-list symbol","Cross-list exchange","GICS Sector","Industry","Market cap","Average Volume","Action"
"GBRCF","GOLD BULL RESOURCES CORP","","","Unknown","","$13,407,114","12,298","Analyze"
"AIMLF","AI / ML INNOVATIONS INC","","","Unknown","","$13,395,969","16,851","Analyze"
"PRSNF","PERSONAS SOCIAL INC","","","Unknown","","$13,349,164","0","Analyze"
"IAALF","IBC Advanced Alloys Corp.","","","Materials","Metal Fabrication","$13,332,257","80,181","Analyze"
"ROIUF","Route1 Inc.","","","Information Technology","Software—Application","$13,262,961","1,300","Analyze"
"INXSF","Intouch Insight Ltd.","","","Information Technology","Software—Application","$13,253,550","9,820","Analyze"
"ORTIF","ORTHO REGENERATIVE TECHS","","","Unknown","","$13,253,446","0","Analyze"
"PNDHF","Pond Technologies Holdings Inc.","","","Energy","Farm Products","$13,214,581","3,149","Analyze"
"INEOF","INEO TECH CORP","","","Unknown","","$13,147,865","0","Analyze"
"HSCHF","H-Source Holdings Ltd. Class A","","","Unknown","Health Information Services","$12,940,430","271,407","Analyze"
"RIINF","Braveheart Resources Inc.","","","Materials","Other Precious Metals & Mining","$12,931,012","52,334","Analyze"
"RRSFF","RRITUAL SUPERFOODS INC","","","Unknown","","$12,916,255","17,395","Analyze"
"OZBKF","OUTBACK GOLDFIELDS CORP","","","Unknown","","$12,841,510","11,171","Analyze"
"XSHLF","Xtraction Services Holdings Corp.","","","Unknown","Credit Services","$12,839,495","15,000","Analyze"
"BTVRF","BLUERUSH INC","","","Unknown","","$12,818,686","17,000","Analyze"
"NBRFF","NUBIAN RESOURCES LTD","","","Unknown","","$12,774,530","1,500","Analyze"
"SAGGF","STERLING METALS CORP","","","Unknown","","$12,756,298","63,379","Analyze"
"JPOTF","JACKPOT DIGITAL INC NEW","","","Consumer Discretionary","","$12,747,645","7,846","Analyze"
"AAUGF","ANGOLD RES LTD","","","Unknown","","$12,700,399","3,419","Analyze"
"VVIVF","EARTHRENEW INC","","","Unknown","","$12,679,560","7,169","Analyze"
"MSGCF","MAS GOLD CORP","","","Unknown","","$12,605,546","7,500","Analyze"
"HAPBF","HAPBEE TECHNOLOGIES INC","","","Unknown","","$12,563,468","11,443","Analyze"
"SBUDF","SUGARBUD CRAFT GROWERS CP","","","Unknown","","$12,519,436","15,868","Analyze"
"AQSZF","Aequus Pharmaceuticals Inc.","","","Health Care","Drug Manufacturers—Specialty & Generic","$12,467,637","19,000","Analyze"
"KTGDF","K2 Gold Corporation","","","Materials","Gold","$12,353,665","16,353","Analyze"
"NRGOF","Newrange Gold Corp.","","","Materials","Gold","$12,306,816","2,916","Analyze"
"SRUTF","Sproutly Canada Inc.","","","Unknown","Drug Manufacturers—Specialty & Generic","$12,240,048","124,693","Analyze"
"CMETF","CHILEAN METALS INC","","","Materials","","$12,168,057","0","Analyze"
"ENTBF","ENTHEON BIOMEDICAL CORP","","","Unknown","","$12,150,281","0","Analyze"
"THCBF","THC BioMed Intl. Ltd.","CF:THC","Canadian Securities Exchange","Health Care","Drug Manufacturers-Specialty & Generic","$12,124,053","35,965","Analyze"
"NETWF","NETWORK MEDIA GROUP INC","","","Unknown","","$11,996,613","0","Analyze"
"AVCRF","AVRICORE HEALTH INC ORD","","","Unknown","","$11,993,864","0","Analyze"
"REZZF","Global Battery Metals Ltd.","CV:GBML","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$11,926,011","97,576","Analyze"
"INCAF","INCA ONE GOLD CORP NEW","","","Unknown","","$11,883,913","0","Analyze"
"NOCSF","NORSEMAN SILVER INC","","","Unknown","","$11,860,789","0","Analyze"
"PKLBF","Perk Labs Inc.","","","Unknown","Software—Infrastructure","$11,724,698","102,716","Analyze"
"MSLVF","MANTARO SILVER CORP","","","Unknown","","$11,688,266","0","Analyze"
"BNKL","Bionik Laboratories Corp","","","Health Care","Medical Care Facilities","$11,581,840","1,051","Analyze"
"TOWTF","TOWER ONE WIRELESS CORP","","","Unknown","","$11,546,429","27,245","Analyze"
"AVGDF","AVIDIAN GOLD CORP","","","Unknown","","$11,542,443","0","Analyze"
"ELIXF","Elixxer Ltd.","","","Unknown","Drug Manufacturers—Specialty & Generic","$11,322,100","24,300","Analyze"
"MTLFF","Metallis Resources Inc.","","","Materials","Other Industrial Metals & Mining","$11,292,598","37,000","Analyze"
"SVTNF","SILVERTON METALS CORP","","","Unknown","","$11,270,839","0","Analyze"
"DLPRF","DLP RES INC","","","Unknown","","$11,227,186","0","Analyze"
"IPNFF","ImagineAR Inc.","CF:IP","Canadian Securities Exchange","Information Technology","Software—Application","$11,221,093","146,599","Analyze"
"TLLZF","GOLD LINE RES LTD","","","Unknown","","$11,176,619","0","Analyze"
"GATGF","Gatling Exploration Inc.","CV:GTR","TSX Venture Exchange","Unknown","Other Industrial Metals & Mining","$11,122,955","20,991","Analyze"
"NRXCF","NeutriSci International Inc","","","Consumer Staples","Drug Manufacturers—Specialty & Generic","$11,092,230","29,500","Analyze"
"KLGDF","KALO GOLD HOLDINGS CORP","","","Unknown","","$11,084,915","26,565","Analyze"
