"Symbol","Name","Index Country","Country of incorporation","GICS Sector","Foreign issuer?","Russell 3000?","Market cap","Average Volume","Action"
"LKCO","Luokung Technology Corp","China","","Information Technology","Yes","No","$404,654,765","8,789,180","Analyze"
"SOLO","Electrameccanica Vehicles Corp. Ltd.","Canada","Canada","Consumer Discretionary","Yes","No","$383,036,181","2,208,895","Analyze"
"VTRU","Vitru Ltd","Brazil","","Consumer Staples","Yes","No","$370,312,331","29,718","Analyze"
"NSR","Nomad Royalty Company Ltd.","Canada","","Materials","Yes","No","$369,851,005","18,609","Analyze"
"URGN","UroGen Pharma Ltd.","Israel","Israel","Health Care","No","Yes","$358,702,889","90,287","Analyze"
"IBEX","IBEX Ltd","Bermuda","Bermuda","Information Technology","Yes","Yes","$358,569,257","31,001","Analyze"
"NAT","Nordic American Tankers Ltd","Bermuda","Bermuda","Energy","Yes","Yes","$351,354,980","2,283,593","Analyze"
"TNK","Teekay Tankers Ltd Class A","Bermuda","Marshall Islands","Energy","Yes","Yes","$351,092,481","300,925","Analyze"
"KNDI","Kandi Technologies Group","China","","Consumer Discretionary","No","No","$347,761,797","830,263","Analyze"
"HITI","High Tide Inc.","Canada","","Health Care","Yes","No","$346,679,657","216,167","Analyze"
"CYBN","Cybin Inc.","Canada","","Health Care","Yes","No","$342,550,080","1,211,088","Analyze"
"NMM","Navios Maritime Partners LP","Monaco","","Industrials","Yes","No","$342,057,388","573,169","Analyze"
