Symbol,Description,Category2,Category3,Index Country,GICS Sector,Industry,Market Cap,Current Yield,PB Ratio,PE Ratio,PS Ratio,NI%,ROE%,Beta,Actions
EAR,"Eargo, Inc.",Common stocks,Micro cap,USA,Health Care,Medical Devices,"$297,220,055 ",0.00%,2.27,-7.09,3.48,-63.71,-30.96,0.73,Analyze
EARN,Ellington Residential Mortgage REIT,Mortgage REITs,Micro cap,USA,Financials,REIT—Mortgage,"$158,898,067 ",9.09%,0.98,14.32,9.4,65.67,6.86,0.72,Analyze
EAST,Eastside Distilling Inc.,Common stocks,Micro cap,USA,Consumer Staples,Beverages—Wineries & Distilleries,"$36,223,809 ",0.00%,3.95,-16.53,2.84,1.34,1.97,1.37,Analyze
EAT,Brinker International Inc,Common stocks,Mid cap,USA,Consumer Discretionary,Restaurants,"$2,007,662,928 ",0.00%,-2.14,15.29,0.6,3.94,-43.39,1.65,Analyze
EB,Eventbrite Inc. Class A,Common stocks,Small cap,USA,Communication Services,Software—Application,"$1,530,424,328 ",0.00%,11.11,-10.76,12.48,-118.29,-82.85,2,Analyze
EBAC,European Biotech Acquisition Corp. - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$128,267,935 ",0.00%,31.84,0,0,0,0.61,0,Analyze
EBACU,European Biotech Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),Units,Micro cap,USA,Financials,Shell Companies,"$128,267,935 ",0.00%,32.46,0,0,0,0.61,0,Analyze
EBACW,European Biotech Acquisition Corp. - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$128,267,935 ",0.00%,0,0,0,0,0.61,0,Analyze
EBAY,Ebay Inc,Common stocks,Large cap,USA,Consumer Discretionary,Internet Retail,"$49,384,739,506 ",0.92%,3.87,3.85,4.42,115.4,98.99,0.93,Analyze
EBC,"Eastern Bankshares, Inc.",Common stocks,Mid cap,USA,Financials,Banks-Regional,"$3,912,583,326 ",1.05%,1.06,58.97,6.46,11.05,1.95,0.66,Analyze
EBET,"eSports Technologies, Inc.",Common stocks,Small cap,USA,Consumer Discretionary,Gambling,"$347,322,491 ",0.00%,24.16,-40.19,0,"-6,858.12",-64.21,0,Analyze
EBF,Ennis Inc,Common stocks,Small cap,USA,Industrials,Business Equipment & Supplies,"$494,479,295 ",4.96%,1.62,17.6,1.3,7.44,9.25,0.72,Analyze
EBIX,Ebix Inc,Common stocks,Small cap,USA,Information Technology,Software—Application,"$952,748,487 ",0.97%,1.52,11.96,1.13,9.4,11.65,1.51,Analyze
EBMT,Eagle Bancorp Montana Inc,Common stocks,Micro cap,USA,Financials,Banks-Regional,"$150,849,409 ",1.86%,0.99,7.75,1.61,20.78,12.76,0.53,Analyze
EBON,Ebang International Holdings Inc. - Class A,Common stocks,Small cap,China,Information Technology,Computer Hardware,"$306,261,019 ",0.00%,1.12,-19.42,4.67,-37.07,-6.76,1.74,Analyze
EBR,Centrais Eletricas Brasileiras ADRs,ADRs,Large cap,Brazil,Utilities,Utilities—Regulated Electric,"$10,808,921,691 ",14.70%,0.13,6.8,2.23,20.49,7.38,0.87,Analyze
