"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"UL","Unilever PLC ADRs","United Kingdom","LN:ULVR","London Stock Exchange","Consumer Staples","$141,434,657,465","0.00","0.00","0.00","2.79%","1,827,821","Analyze"
"HDB","HDFC Bank Ltd ADRs","India","IS:HDFCBANK","National Stock Exchange Of India","Financials","$138,265,462,432","0.00","0.00","0.00","0.35%","1,747,867","Analyze"
"SNY","Sanofi SA ADRs","France","FP:SAN","Euronext Paris","Health Care","$121,769,673,986","0.00","0.00","0.00","4.00%","2,714,025","Analyze"
"TTE","TotalEnergies SE ADRs","France","FP:TTE","Euronext Paris","Energy","$121,750,196,360","0.00","0.00","0.00","6.69%","1,851,848","Analyze"
"JD","JD.com Inc ADRs","China","PRIVATE","","Consumer Discretionary","$120,014,013,535","0.00","0.00","0.00","0.00%","12,159,657","Analyze"
"PDD","Pinduoduo Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$116,123,119,105","0.00","0.00","0.00","0.00%","10,476,208","Analyze"
"BUD","Anheuser-Busch InBev SA/NV ADRs","Belgium","BB:ABI","Nyse Euronext - Euronext Brussels","Consumer Staples","$115,884,296,830","0.00","0.00","0.00","1.05%","1,482,261","Analyze"
"RIO","Rio Tinto PLC ADRs","United Kingdom","LN:RIO","London Stock Exchange","Materials","$114,335,211,756","0.00","0.00","0.00","12.21%","3,373,612","Analyze"
"DEO","Diageo PLC ADRs","United Kingdom","LN:DGE","London Stock Exchange","Consumer Staples","$111,797,897,992","0.00","0.00","0.00","2.08%","276,641","Analyze"
"HSBC","HSBC Holdings PLC ADRs","United Kingdom","LN:HSBA","London Stock Exchange","Financials","$104,131,942,820","0.00","0.00","0.00","0.86%","2,132,524","Analyze"
"INFY","Infosys Ltd ADRs","India","IS:INFY","National Stock Exchange Of India","Information Technology","$98,392,765,008","0.00","0.00","0.00","1.56%","5,652,409","Analyze"
"GSK","GlaxoSmithKline PLC ADRs","United Kingdom","LN:GSK","London Stock Exchange","Health Care","$98,382,694,974","0.00","0.00","0.00","5.53%","3,318,076","Analyze"
"BNTX","BioNTech SE  ADRs","Germany","PRIVATE","","Health Care","$90,373,943,281","0.00","0.00","0.00","0.00%","3,409,729","Analyze"
"VALE","Vale SA ADRs","Brazil","BS:VALE3","XBSP","Materials","$88,356,418,154","0.00","0.00","0.00","38.51%","28,676,474","Analyze"
"BHP","BHP Billiton Ltd ADRs","Australia","AT:BHP","Asx - All Markets","Materials","$85,719,554,253","0.00","0.00","0.00","10.15%","3,786,215","Analyze"
"BTI","British American Tobacco PLC ADRs","United Kingdom","LN:BATS","London Stock Exchange","Consumer Staples","$84,947,115,048","0.00","0.00","0.00","7.62%","2,459,928","Analyze"
"BP","BP PLC ADRs","United Kingdom","LN:BP","London Stock Exchange","Energy","$84,908,307,103","0.00","0.00","0.00","4.93%","9,276,047","Analyze"
"MUFG","Mitsubishi UFJ Financial Group Inc. ADRs","Japan","JT:8306","Tokyo Stock Exchange","Financials","$79,726,311,354","0.00","0.00","0.00","3.93%","1,430,310","Analyze"
"EQNR","Equinor ASA ADRs","Norway","NO:STL","Oslo Bors Asa","Energy","$77,761,005,566","0.00","0.00","0.00","1.95%","2,252,961","Analyze"
"ABB","ABB Ltd ADRs","Switzerland","VX:ABBN","Six Swiss - Blue Chips Segment","Industrials","$75,165,757,945","0.00","0.00","0.00","2.33%","1,118,365","Analyze"
"WBK","Westpac Banking Corp ADRs","Australia","AT:WBC","Asx - All Markets","Financials","$69,813,302,106","0.00","0.00","0.00","3.57%","87,598","Analyze"
"IBN","ICICI Bank Ltd ADRs","India","IS:ICICIBANK","National Stock Exchange Of India","Financials","$69,123,829,599","0.00","0.00","0.00","0.27%","5,250,308","Analyze"
"PBR","Petroleo Brasileiro SA ADRs","Brazil","BS:PETR3","XBSP","Energy","$65,555,049,107","0.00","0.00","0.00","8.74%","26,989,529","Analyze"
"PBR.A","Petroleo Brasileiro-Petrobras ADRs","Brazil","BS:PETR4","XBSP","Energy","$65,555,049,107","0.00","0.00","0.00","9.00%","10,138,104","Analyze"
"SAN","Banco Santander SA ADRs","Spain","SM:SAN","Bolsa De Madrid","Health Care","$64,160,372,817","0.00","0.00","0.00","0.86%","3,851,567","Analyze"
"UBS","UBS Group AG ADRs","Switzerland","VX:UBSG","Six Swiss - Blue Chips Segment","Financials","$61,978,560,936","0.00","0.00","0.00","2.18%","1,591,247","Analyze"
"RELX","RELX PLC ADRs","United Kingdom","LN:REL","London Stock Exchange","Industrials","$58,903,245,745","0.00","0.00","0.00","2.18%","492,104","Analyze"
"BBL","BHP Group PLC ADRs","United Kingdom","LN:BHP","London Stock Exchange","Communication Services","$57,934,129,364","0.00","0.00","0.00","10.74%","2,998,183","Analyze"
"NIO","NIO Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$57,819,984,362","0.00","0.00","0.00","0.00%","36,544,147","Analyze"
"NTES","NetEase Inc ADRs","China","PRIVATE","","Communication Services","$56,590,510,383","0.00","0.00","0.00","0.94%","4,368,919","Analyze"
"HMC","Honda Motor Co Ltd ADRs","Japan","JT:7267","Tokyo Stock Exchange","Consumer Discretionary","$56,516,567,016","0.00","0.00","0.00","2.90%","616,247","Analyze"
"BIDU","Baidu Inc ADRs of Class A","China","PRIVATE","","Communication Services","$55,574,748,000","0.00","0.00","0.00","0.00%","5,308,503","Analyze"
"PUK","Prudential PLC ADRs","United Kingdom","LN:PRU","London Stock Exchange","Financials","$55,136,921,485","0.00","0.00","0.00","0.76%","182,924","Analyze"
"TAK","Takeda Pharmaceutical Company Limited ADRs","Japan","JT:4502","Tokyo Stock Exchange","Health Care","$54,429,486,860","0.00","0.00","0.00","4.81%","1,621,756","Analyze"
"ING","ING Groep NV ADRs","The Netherlands","NA:INGA","Nyse Euronext - Euronext Amsterdam","Information Technology","$54,422,157,973","0.00","0.00","0.00","3.44%","2,748,494","Analyze"
"WIT","Wipro Ltd ADRs","India","IS:WIPRO","National Stock Exchange Of India","Information Technology","$51,883,873,810","0.00","0.00","0.00","0.14%","1,803,068","Analyze"
"SMFG","Sumitomo Mitsui Financial Group Inc ADRs","Japan","JT:8316","Tokyo Stock Exchange","Financials","$49,958,062,408","0.00","0.00","0.00","4.81%","878,983","Analyze"
"NGG","National Grid ADRs","United Kingdom","LN:NG","London Stock Exchange","Utilities","$48,242,313,969","0.00","0.00","0.00","3.42%","319,264","Analyze"
"ABEV","Ambev SA ADRs","Brazil","BS:ABEV3","XBSP","Consumer Staples","$47,696,609,241","0.00","0.00","0.00","0.47%","26,148,377","Analyze"
"E","ENI SpA ADRs","Italy","IM:ENI","Borsa Italiana S.P.A.","Energy","$46,710,481,256","0.00","0.00","0.00","3.31%","205,963","Analyze"
"BBVA","Banco Bilbao Vizcaya Argentaria SA ADRs","Spain","SM:BBVA","Bolsa De Madrid","Financials","$45,141,592,147","0.00","0.00","0.00","0.87%","1,427,726","Analyze"
"VOD","Vodacom Group Ltd ADRs","United Kingdom","LN:VOD","London Stock Exchange","Communication Services","$44,856,418,948","0.00","0.00","0.00","6.54%","3,811,682","Analyze"
"BCS","Barclays PLC ADRs","United Kingdom","LN:BARC","London Stock Exchange","Financials","$43,329,176,985","0.00","0.00","0.00","1.62%","2,938,370","Analyze"
"PHG","Koninklijke Philips NV ADRs","The Netherlands","NA:PHIA","Nyse Euronext - Euronext Amsterdam","Industrials","$43,301,231,337","0.00","0.00","0.00","2.19%","724,054","Analyze"
"LYG","Lloyds Banking Group PLC ADRs","United Kingdom","LN:LLOY","London Stock Exchange","Financials","$43,124,470,728","0.00","0.00","0.00","2.83%","6,186,599","Analyze"
"STM","STMicroelectronics NV ADRs","Italy","FP:STM","Euronext Paris","Information Technology","$43,010,500,624","0.00","0.00","0.00","0.39%","1,702,118","Analyze"
"AMOV","America Movil - Series A ADRs","Mexico","MM:AMXL","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Communication Services","$42,313,452,519","0.00","0.00","0.00","2.13%","5,540","Analyze"
"AMX","America Movil SAB de CV ADRs Series L","Mexico","MM:AMXL","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Communication Services","$42,313,452,519","0.00","0.00","0.00","2.13%","2,117,898","Analyze"
"CRH","CRH PLC ADRs","Ireland","ID:CRG","Irish Stock Exchange - All Market","Materials","$40,278,786,474","0.00","0.00","0.00","2.25%","507,951","Analyze"
"MFG","Mizuho Financial Group Inc ADRs","Japan","JT:8411","Tokyo Stock Exchange","Financials","$37,580,898,440","0.00","0.00","0.00","4.69%","298,014","Analyze"
"BBD","Banco Bradesco SA ADRs","Brazil","BS:BBDC4","XBSP","Financials","$35,906,589,683","0.00","0.00","0.00","2.75%","28,535,581","Analyze"
"BBDO","Banco Bradesco SA ADRs","Brazil","BS:BBDC3","XBSP","Financials","$35,906,589,683","0.00","0.00","0.00","2.85%","44,876","Analyze"
"BGNE","BeiGene ADRs","China","HK:6160","Hong Kong Exchange","Health Care","$35,765,208,140","0.00","0.00","0.00","0.00%","411,336","Analyze"
"ERIC","Telefonaktiebolaget LM Ericsson ADRs of Class B","Sweden","SS:ERIC-B","Nasdaq Omx Nordic","Information Technology","$35,670,514,681","0.00","0.00","0.00","1.73%","3,934,048","Analyze"
"DIDI","DiDi Global Inc. ADRs of Class A","China","PRIVATE","","Industrials","$35,571,347,738","0.00","0.00","0.00","0.00%","23,131,451","Analyze"
"MT","ArcelorMittal ADRs","Luxembourg","NA:MT","Nyse Euronext - Euronext Amsterdam","Materials","$34,454,533,994","0.00","0.00","0.00","0.90%","3,905,660","Analyze"
"NWG","NatWest Group plc ADRs","United Kingdom","LN:RBS","London Stock Exchange","Financials","$33,759,037,478","0.00","0.00","0.00","2.80%","910,227","Analyze"
"CAJ","Canon Inc ADRs","Japan","JT:7751","Tokyo Stock Exchange","Information Technology","$33,157,359,715","0.00","0.00","0.00","3.07%","220,911","Analyze"
"NOK","Nokia OYJ ADRs","Finland","FH:NOKIA","Nasdaq Omx Helsinki Ltd.","Information Technology","$31,896,091,714","0.00","0.00","0.00","3.93%","18,442,478","Analyze"
"CHT","Chunghwa Telecom Co Ltd ADRs","Taiwan","TT:2412","Taiwan Stock Exchange","Communication Services","$30,975,484,074","0.00","0.00","0.00","3.88%","130,113","Analyze"
"UMC","United Microelectronics Corp ADRs","Taiwan","TT:2303","Taiwan Stock Exchange","Information Technology","$29,892,910,828","0.00","0.00","0.00","2.38%","6,932,603","Analyze"
"ORAN","Orange SA ADRs","France","FP:ORA","Euronext Paris","Communication Services","$29,305,085,798","0.00","0.00","0.00","9.60%","595,470","Analyze"
"EC","Ecopetrol ADRs","Colombia","CX:ECOPETROL","Bolsa De Valores De Colombia","Energy","$28,103,260,827","0.00","0.00","0.00","0.68%","816,919","Analyze"
"GMAB","Genmab A/S  ADRs","Denmark","DC:GEN","Omx Nordic Exchange Copenhagen A/S","Health Care","$27,769,962,315","0.00","0.00","0.00","0.00%","402,791","Analyze"
"TEF","Telefonica SA ADRs","Spain","SM:TEF","Bolsa De Madrid","Communication Services","$27,513,701,114","0.00","0.00","0.00","9.71%","1,167,257","Analyze"
